id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,ciudad,tiene_reviews
21595144,PORTA ROMANA,45.45025,9.20497,Entire home/apt,90.0,2,15,,0.34,3,147,Milán,0
21599113,LODI - CORVETTO,45.44024,9.22734,Private room,40.0,2,1,,0.02,1,0,Milán,0
21602449,MAGENTA - S. VITTORE,45.46877,9.17354,Entire home/apt,97.0,1,12,,0.29,7,0,Milán,0
21604858,UMBRIA - MOLISE,45.45275,9.22049,Entire home/apt,40.0,3,8,,0.19,1,326,Milán,0
21604936,TIBALDI,45.44078,9.17442,Entire home/apt,63.0,1,10,,0.23,1,268,Milán,0
21615541,LORETO,45.48995,9.22002,Private room,23.0,1,26,,0.6,1,0,Milán,0
21618953,DUOMO,45.46579,9.19825,Entire home/apt,160.0,3,56,,1.28,2,110,Milán,0
21619388,SARPI,45.4807,9.18152,Entire home/apt,130.0,1,1,,0.02,1,0,Milán,0
21619600,BRERA,45.47353,9.19471,Entire home/apt,500.0,1,0,,0.0,161,0,Milán,0
21620024,CENTRALE,45.49216,9.20722,Entire home/apt,26.0,30,150,,3.42,6,5,Milán,0
21621337,PADOVA,45.50694,9.24856,Entire home/apt,88.0,1,0,,0.0,1,0,Milán,0
21622401,CORSICA,45.46312,9.23504,Entire home/apt,78.0,2,42,,1.02,1,136,Milán,0
21622989,MAGGIORE - MUSOCCO,45.50189,9.12511,Entire home/apt,60.0,1,1,,0.03,1,283,Milán,0
21629478,BRERA,45.46915,9.18395,Private room,8.0,1,0,,0.0,1,0,Milán,0
21632026,LAMBRATE,45.47129,9.24059,Private room,150.0,1,0,,0.0,1,87,Milán,0
21635233,XXII MARZO,45.46614,9.21826,Private room,35.0,7,0,,0.0,1,67,Milán,0
21639002,DUOMO,45.45946,9.18095,Entire home/apt,72.0,1,6,,0.15,25,363,Milán,0
21640912,SARPI,45.48121,9.1734,Entire home/apt,200.0,2,4,,0.09,1,0,Milán,0
21646747,BRERA,45.4759,9.19064,Entire home/apt,143.0,1,157,,3.52,1,0,Milán,0
21651783,ISOLA,45.4891,9.18865,Entire home/apt,43.0,2,73,,1.65,51,0,Milán,0
21656138,LORETO,45.49006941,9.213701695,Private room,47.0,2,0,,0.0,1,41,Milán,0
21659067,DUOMO,45.46463,9.18038,Entire home/apt,123.0,1,38,,0.86,13,34,Milán,0
21664700,FARINI,45.48895,9.18152,Entire home/apt,400.0,1,4,,1.3,1,179,Milán,0
21669662,TORTONA,45.4496,9.15673,Private room,30.0,1,6,,0.13,1,67,Milán,0
21670302,MAGENTA - S. VITTORE,45.45789,9.17054,Entire home/apt,80.0,1,51,,1.17,3,0,Milán,0
21670331,BRERA,45.46941,9.1867,Entire home/apt,145.0,2,59,,1.37,42,123,Milán,0
21676610,BUENOS AIRES - VENEZIA,45.47397,9.21264,Entire home/apt,50.0,1,50,,1.17,7,0,Milán,0
21677767,VILLAPIZZONE,45.49334,9.14539,Entire home/apt,95.0,2,162,,3.77,1,9,Milán,0
21679384,ISOLA,45.4885,9.18688,Entire home/apt,55.0,14,16,,0.36,1,0,Milán,0
21679390,CITTA' STUDI,45.46991,9.22996,Entire home/apt,45.0,1,34,,0.78,5,345,Milán,0
21680781,BUENOS AIRES - VENEZIA,45.47475,9.21499,Entire home/apt,45.0,1,71,,1.6,5,337,Milán,0
21685775,LORENTEGGIO,45.44706,9.12617,Entire home/apt,40.0,1,0,,0.0,1,0,Milán,0
21689784,XXII MARZO,45.45949,9.21168,Entire home/apt,69.0,2,250,,6.05,1,0,Milán,0
21690110,FARINI,45.49656,9.1697,Entire home/apt,62.0,2,98,,2.46,1,0,Milán,0
21690359,UMBRIA - MOLISE,45.45418,9.21612,Entire home/apt,66.0,2,9,,0.21,1,0,Milán,0
21690533,CENTRALE,45.48103,9.20212,Entire home/apt,47.0,1,261,,6.21,2,287,Milán,0
21694582,DUOMO,45.46655,9.18011,Entire home/apt,95.0,1,133,,3.03,13,27,Milán,0
21704261,NAVIGLI,45.44923,9.16391,Entire home/apt,60.0,2,45,,1.02,1,314,Milán,0
21710176,BRERA,45.48024,9.1868,Entire home/apt,64.0,1,68,,1.56,2,0,Milán,0
21712216,BANDE NERE,45.45915,9.14735,Entire home/apt,52.0,2,21,,0.48,51,0,Milán,0
21727857,CORSICA,45.46499,9.23143,Private room,35.0,1,0,,0.0,1,0,Milán,0
21731302,GHISOLFA,45.4897,9.17015,Entire home/apt,50.0,1,34,,0.77,1,0,Milán,0
21734880,BRERA,45.47899,9.18831,Entire home/apt,145.0,2,144,,3.25,1,0,Milán,0
21741852,SARPI,45.47887,9.17466,Entire home/apt,68.0,2,16,,0.45,1,25,Milán,0
21742054,NAVIGLI,45.44513,9.17527,Entire home/apt,116.0,1,15,,0.46,1,80,Milán,0
